Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
5,1712452236627,07/04/2024 01:10:36,1712455836627,1,07/04/2024 03:10:36,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,10377.200000000004,11885.599999999999,11887.699999997021,10377.200000000004,11885.599999999999,11887.699999997021,1,10377.200000000004,1510.4999999970169,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712452262646,07/04/2024 01:11:02,1712455862646,1,07/04/2024 03:11:02,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Fich Question,old87p,3,response,THE,23916.4,26018.5,26022.000000002983,23916.4,26018.5,26022.000000002983,1,23916.4,2105.6000000029817,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1712452270512,07/04/2024 01:11:10,1712455870512,1,07/04/2024 03:11:10,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,OF,5470.300000000003,7863.100000000006,7868.599999997023,5470.300000000003,7863.100000000006,7868.599999997023,1,5470.300000000003,2398.2999999970198,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1712452277899,07/04/2024 01:11:17,1712455877899,1,07/04/2024 03:11:17,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,IF,6185.099999999991,7390.599999999991,7392.499999997017,6185.099999999991,7390.599999999991,7392.499999997017,1,6185.099999999991,1207.3999999970256,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1712452283487,07/04/2024 01:11:23,1712455883487,1,07/04/2024 03:11:23,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,LAST,3907.2000000000116,5585.300000000003,5590.199999994045,3907.2000000000116,5585.300000000003,5590.199999994045,1,3907.2000000000116,1682.9999999940337,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1712452286698,07/04/2024 01:11:26,1712455886698,1,07/04/2024 03:11:26,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,3215.500000002983,3210.699999999997,3215.500000002983,3215.500000002983,3210.699999999997,3215.500000002983,1,3215.500000002983,0,0,,Click To Continue,Continue Button,2,object-4,End,
11,1712452286700,07/04/2024 01:11:26,1712455886700,1,07/04/2024 03:11:26,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712487998470,07/04/2024 11:06:38,1712491598470,1,07/04/2024 13:06:38,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712488006494,07/04/2024 11:06:46,1712491606494,1,07/04/2024 13:06:46,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,8044.78,8028.38,8044.78,8044.78,8028.38,8044.78,0,8044.78,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712488006495,07/04/2024 11:06:46,1712491606495,1,07/04/2024 13:06:46,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,6845.9800000000005,8028.38,8044.78,6845.9800000000005,8028.38,8044.78,1,6845.9800000000005,1198.7999999999993,0,,Dropdown,Dropdown,4,object-10,End,
